courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
BPSC199,11349,SENIOR RESEARCH,Botany/Plant Science,"2 to 4 units,  laboratory, 6 to 12 hours. prerequisite(s): senior status; a gpa of 3.2 or better in upper-division courses in botany/plant science and biology; or consent of instructor. individual research on a problem relating to botany/plant science. a written proposal signed by the supervising faculty member must be approved by the major advisor and the department vice chair. a written report must be filed with the supervising faculty member. course is repeatable, but total credit toward graduation may not exceed 9 units."
BPSC200A,11370,PLANT BIOLOGY CORE,Botany/Plant Science,"2 units, lecture, 1 hour; practicum, 3 hours. prerequisite(s): graduate standing in plant biology or consent of instructor. explores plant biology research approaches.  emphasizes critical thinking and advanced planning of hypothesis testing, as well as experimental/descriptive/theoretical caveats, trade-offs, and options.  presents topics in a case-study approach.  also addresses professional development."
BPSC230,31296,MOLECULAR PLANT-MICROBIAL INTERACTIONS,Botany/Plant Science,"3 units, lecture, 2 hours; discussion, 1 hour. prerequisite(s): bch 100, biol 120 or mcbl 120 or plpa 120, or equivalents; graduate standing. a study of the physiology of host-pathogen interactions with emphasis on the metabolism of diseased plants, nature of pathogenicity, and defense mechanisms in plants. cross-listed with plpa 230, cmdb 230, and gen 230."
BPSC234,30575,STATISTICAL GENOMICS,Botany/Plant Science,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 102, stat 231b; or consent of instructor. examines statistical methods of genome analysis. topics include screening for genetic markers, linkage analysis, linkage disequilibrium, and mapping genes for complex diseases and quantitative traits. covers statistical techniques including analysis of least squares and maximum likelihood, bayesian analysis, and markov chain monte carlo algorithm. cross-listed with gen 234."
BPSC235,36382,PLANT CELL AND DEVELOPMENTAL BIOLOGY,Botany/Plant Science,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bch 100 or bch 100h or bch 110b or bch 110hb; bch 110c or bch 110hc or bch 107a; biol 102; biol 104 or bpsc 104; biol 143 or bpsc 143 or cbns 101; or their equivalents;  graduate standing;  or consent of instructor. studies the structure, function, and dynamics of plant cell division, expansion, and specialization as well as molecular and genetic mechanisms in patterning plant forms during development. emphasizes the aspects unique to plants including cytoskeletal and cell plate dynamics; intracellular trafficking and wall-dynamics; and targeting to chloroplasts and vacuoles."
BPSC250,11377,SEMINAR IN PLANT BIOLOGY,Botany/Plant Science,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing or consent of instructor. intensive study of selected topics in plant biology.  includes lectures by students, faculty, and invited scholars on subjects related to the principles of plant biology. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BPSC261,11378,"SEMINAR IN GENETICS, GENOMICS, AND BIOINFORMATICS",Botany/Plant Science,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing or consent of instructor. oral reports by visiting scholars, faculty, and students on current research topics in genetics, genomics, and bioinformatics. graded satisfactory (s) or no credit (nc). course is repeatable. cross-listed with bch 261, biol 261, entm 261, plpa 261, and gen 261."
BPSC290,29526,DIRECTED STUDIES,Botany/Plant Science,"1 to 6 units, individual study, 3 to 18 hours. prerequisite(s): graduate standing; and consent of instructor. library, laboratory, or field studies conducted under the direction of a faculty member. designed to meet specific curricular needs in areas of plant biology not covered by formal course work and outside of required directed dissertation or thesis research. not intended to replace bpsc 297 or bpsc 299."
BPSC291,11401,INDIVIDUAL STUDY IN COORDINATED AREAS,Botany/Plant Science,"1 to 6 units, prerequisite(s): graduate standing. a program of study designed to advise and assist candidates who are preparing for examinations. up to 6 units may be taken prior to the master's degree. up to 12 units may be taken prior to advancement to candidacy for the ph.d. graded satisfactory (s) or no credit (nc). course is repeatable upon recommendation of the instructor."
BPSC292,36967,CONCURRENT AND ADVANCED STUDIES IN BOTANY AND PLANT SCIENCES,Botany/Plant Science,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): graduate standing; and consent of instructor. elected concurrently with an appropriate undergraduate course, but on an individual basis. devoted to one or more graduate projects based on research and criticism related to the course. faculty guidance and evaluation is provided throughout the quarter."
BPSC297,11442,DIRECTED RESEARCH,Botany/Plant Science,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): graduate standing or consent of instructor. individual research conducted under the direction of a botany and plant sciences faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
BPSC299,11480,RESEARCH FOR THESIS OR DISSERTATION,Botany/Plant Science,"1 to 12 units, thesis, 3 to 36 hours. prerequisite(s): graduate standing. original research in an area selected for the advanced degree. graded satisfactory (s) or no credit (nc). course is repeatable."
BUS001,23721,PERSONAL FINANCE,Business,"4 units, lecture, 3 hours; workshop, 1 hour. prerequisite(s): none. provides students with tools necessary to analyze the decision to finance their ucr education with student loans. topics include personal budgets, student loans, interest rates, career planning, auto and health insurance, and other issues related to financing higher education. credit is awarded for only one of bus 001 or bus 001h."
BUS010,11562,INTRODUCTION TO BUSINESS,Business,"4 units, lecture, 3 hours, discussion, 1 hour. prerequisite(s): none. provides an overview of the field of business administration. explores business goals and strategies, functional areas of business and their integration in policy and decision making, social responsibility, computers in business, and business trends and challenges including the international dimension."
BUS020,11578,FINANCIAL ACCOUNTING AND REPORTING,Business,"4 units, lecture, 3 hours, discussion, 1 hour. prerequisite(s): none. a study of the concepts and techniques for measurement and communication of financial information. includes interpretation of financial statements."
BUS098,37893,PERSONAL BRANDING AND PROFESSIONAL DEVELOPMENT,Business,"2 units, lecture, 2 hours. prepares for successful internships and develops critical career management skills through greater understanding of abilities and preferences as well as available job search resources. explores career-enhancing techniques such as self-assessment, career research, resume writing, networking, interviewing, and professionalism.  graded satisfactory (s) or no credit (nc)."
BUS100W,11588,MANAGEMENT WRITING AND COMMUNICATION,Business,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): engl 001b with a grade of c or better; bus 020; econ 003; stat 008; engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop;  or consent of instructor. focuses on writing and communication methods in the business environment. topics include written and oral presentations, interpersonal skills, teamwork in the multicultural setting, and effective use of communication technologies. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c."
BUS101,11607,INFORMATION TECHNOLOGY MANAGEMENT,Business,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003; stat 008; or equivalent;  or consent of instructor. topics include computer hardware and software, business data processing, databases, telecommunications, systems analysis and design, cost-benefit analysis, and systems applications in business. includes database and spreadsheet projects."
BUS102,11614,ETHICS AND LAW IN BUSINESS AND SOCIETY,Business,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003; stat 008; or equivalent;  or consent of instructor. analyzes the legal, ethical, political, and social aspects of the business environment. topics include ethics and social responsibility, government regulation, corporate governance, and global management issues."
BUS103,11621,MARKETING AND DISTRIBUTION MANAGEMENT,Business,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bus 020; econ 003 or econ 003h, stat 008;  or consent of instructor. an introduction to the role of marketing in society emphasizing concepts, marketing methods, and institutions."
BUS104,11628,DECISION ANALYSIS AND MANAGEMENT SCIENCE,Business,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): stat 008 or stat 010; or equivalents;  or consent of instructor. a survey of deterministic and probabilistic models for decision making. topics include linear programming and extensions, networks, dynamic programming, decision trees, queuing models, and simulation. explores the application of these models in decision making.     cross-listed with stat 104."
BUS105,30663,PRODUCTION AND OPERATIONS MANAGEMENT,Business,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): stat 008 or stat 010; or equivalent. addresses the issues of design and control of production systems in manufacturing and service organizations. covers product and process selection, capacity planning, location and layout design, project and job scheduling, inventory control, material planning, and quality control."
